Date,Team,Opponent,Player,Minutes,FieldGoalAttempts,FieldGoalMade,Assits,OffensiveRebounds,DefensiveRebounds,TotalRebounds,Turnovers,Points,OffensiveEfficiency,EfficientPointsScored,RawEOP,Win
1/22/2021,Kaukauna,Hortonville,22,3,2,1,0,0,1,1,0,5,0.5,2.5,2.5,Yes
1/23/2021,Kaukauna,Appleton West,22,4,2,0,1,0,1,1,0,0,0.333333333,0,0.253333333,Yes
1/29/2021,Kaukauna,Kimberly,22,2,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,No
12/3/2020,Kaukauna,Appleton North,23,1,0,0,0,0,2,2,0,0,#DIV/0!,#DIV/0!,#DIV/0!,Yes
12/15/2020,Kaukauna,Kimberly,23,4,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,No
12/23/2020,Kaukauna,Neenah,23,5,0,0,0,1,2,3,0,0,0,0,0,No
12/29/2020,Kaukauna,Pius XI Catholic,23,1,0,0,0,1,0,1,0,0,0,0,0,Yes
1/5/2021,Kaukauna,Appleton West,23,9,0,1,0,0,2,2,1,2,1,2,2,Yes
1/22/2021,Kaukauna,Hortonville,23,2,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,Yes
1/23/2021,Kaukauna,Appleton West,23,4,2,2,0,0,2,2,0,4,1,4,4,Yes
12/3/2020,Kaukauna,Appleton North,24,3,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,Yes
12/8/2020,Kaukauna,Appleton East,24,9,5,2,0,0,0,0,0,7,0.4,2.8,2.8,Yes
12/11/2020,Kaukauna,Hortonville,24,11,1,0,0,1,2,3,2,2,0,0,0,Yes
12/15/2020,Kaukauna,Kimberly,24,21,6,2,1,0,3,3,1,6,0.375,2.25,2.535,No
12/18/2020,Kaukauna,Oshkosh North,24,20,7,1,1,0,0,0,2,3,0.2,0.6,0.752,No
12/21/2020,Kaukauna,Fond du Lac,24,11,3,1,0,0,0,0,0,3,0.333333333,1,1,No
12/23/2020,Kaukauna,Neenah,24,14,4,1,0,0,0,0,0,4,0.25,1,1,No
1/16/2021,Kaukauna,Tomah,24,2,1,0,0,0,0,0,0,0,0,0,0,No
1/22/2021,Kaukauna,Hortonville,24,3,1,1,0,0,0,0,0,2,1,2,2,Yes
1/23/2021,Kaukauna,Appleton West,24,5,1,0,1,0,0,0,0,0,0.5,0,0.38,Yes
1/29/2021,Kaukauna,Neenah,24,2,1,0,0,0,0,0,0,0,0,0,0,No
12/3/2020,Kaukauna,Appleton North,30,6,0,0,0,0,1,1,0,0,#DIV/0!,#DIV/0!,#DIV/0!,Yes
12/8/2020,Kaukauna,Appleton East,30,7,0,0,2,1,1,2,0,0,2,0,3.04,Yes
12/15/2020,Kaukauna,Kimberly,30,4,0,0,0,0,0,0,1,0,0,0,0,No
12/18/2020,Kaukauna,Oshkosh North,30,1,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,No
12/23/2020,Kaukauna,Neenah,30,5,1,1,1,0,1,1,0,2,1,2,2.76,No
12/29/2020,Kaukauna,Pius XI Catholic,30,1,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,Yes
1/16/2021,Kaukauna,Tomah,30,2,0,0,0,0,2,2,1,0,0,0,0,No
1/22/2021,Kaukauna,Hortonville,30,4,2,0,1,0,0,0,0,0,0.333333333,0,0.253333333,Yes
1/23/2021,Kaukauna,Appleton West,30,3,0,0,0,0,0,0,1,2,0,0,0,Yes
1/29/2021,Kaukauna,Kimberly,30,2,0,0,0,0,0,0,0,1,#DIV/0!,#DIV/0!,#DIV/0!,No
12/3/2020,Kaukauna,Appleton North,33,1,0,0,0,0,0,0,0,0,0,0,0,Yes
12/15/2020,Kaukauna,Kimberly,33,14,3,1,1,4,4,8,0,3,0.363636364,1.090909091,1.367272727,No
12/18/2020,Kaukauna,Oshkosh North,33,3,0,0,0,0,1,1,1,0,0,0,0,No
12/23/2020,Kaukauna,Neenah,33,6,0,0,0,0,1,1,0,0,0,0,0,No
12/29/2020,Kaukauna,Pius XI Catholic,33,9,3,3,0,0,4,4,2,6,0.272727273,1.636363636,1.636363636,Yes
12/30/2020,Kaukauna,Greendale,33,4,0,0,0,0,1,1,0,0,0,0,0,Yes
1/5/2021,Kaukauna,Appleton West,33,14,4,3,1,1,4,5,1,6,0.333333333,2,2.253333333,Yes
1/7/2021,Kaukauna,Appleton North,33,1,1,0,0,0,0,0,1,0,0.5,0,0,Yes
1/11/2021,Kaukauna,Seymour,33,7,0,0,0,0,1,1,0,0,0,0,0,Yes
1/12/2021,Kaukauna,Neenah,33,2,0,0,0,0,0,0,0,0,0,0,0,No
1/15/2021,Kaukauna,Oshkosh West,33,3,0,0,0,0,1,1,1,0,0,0,0,Yes
1/16/2021,Kaukauna,Tomah,33,2,0,0,0,0,0,0,0,0,0,0,0,No
1/19/2021,Kaukauna,Green Bay Southwest,33,6,0,0,0,0,0,0,0,2,0,0,0,Yes
1/22/2021,Kaukauna,Hortonville,33,7,4,3,0,2,3,5,1,7,0.666666667,4.666666667,4.666666667,Yes
1/23/2021,Kaukauna,Appleton West,33,14,4,2,3,3,6,9,1,4,0.466666667,1.866666667,2.930666667,Yes
1/29/2021,Kaukauna,Kimberly,33,7,1,0,1,1,1,2,2,0,0.222222222,0,0.168888889,No
2/2/2021,Kaukauna,Appleton East,33,10,1,1,0,1,1,2,0,2,0.111111111,0.222222222,0.222222222,No
2/5/2021,Kaukauna,Oshkosh North,33,11,4,3,0,3,0,3,0,7,0.5,3.5,3.5,Yes
2/11/2021,Kaukauna,Fond du Lac,33,3,2,2,0,1,1,2,0,5,1,5,5,No
2/5/2021,Kaukauna,Oshkosh North,2,22,5,1,4,3,4,7,2,2,0.36,0.72,1.8144,Yes
2/5/2021,Kaukauna,Oshkosh North,3,30,7,4,2,0,0,0,2,9,0.264705882,2.382352941,2.784705882,Yes
2/5/2021,Kaukauna,Oshkosh North,4,27,18,9,2,0,5,5,0,26,0.689655172,17.93103448,18.97931034,Yes
2/5/2021,Kaukauna,Oshkosh North,11,15,0,0,0,0,1,1,1,3,0,0,0,Yes
2/5/2021,Kaukauna,Oshkosh North,15,20,6,0,1,0,1,1,2,2,0.304347826,0.608695652,0.84,Yes
2/5/2021,Kaukauna,Oshkosh North,20,22,7,3,2,1,5,6,3,8,0.346153846,2.769230769,3.295384615,Yes
2/5/2021,Kaukauna,Oshkosh North,21,33,13,9,3,2,6,8,0,29,0.470588235,13.64705882,14.72,Yes
2/11/2021,Kaukauna,Fond du Lac,2,34,5,4,1,1,1,2,2,8,0.166666667,1.333333333,1.46,No
2/11/2021,Kaukauna,Fond du Lac,3,33,4,4,1,0,1,1,0,12,0.147058824,1.764705882,1.876470588,No
2/11/2021,Kaukauna,Fond du Lac,4,40,18,6,13,1,4,5,4,23,0.553571429,12.73214286,18.20142857,No
2/11/2021,Kaukauna,Fond du Lac,11,5,1,0,0,0,0,0,0,0,0.2,0,0,No
2/11/2021,Kaukauna,Fond du Lac,14,3,0,0,0,0,0,0,0,0,0,0,0,No
2/11/2021,Kaukauna,Fond du Lac,15,11,1,0,0,0,1,1,1,0,0.083333333,0,0,No
2/11/2021,Kaukauna,Fond du Lac,20,31,6,3,2,0,2,2,2,9,0.228571429,2.057142857,2.404571429,No
2/11/2021,Kaukauna,Fond du Lac,21,38,15,12,3,0,8,8,4,26,0.4,10.4,11.312,No
